#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
X2/STEP,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,86.00,15.88,270,top
X1/X1/R2,"0805","2.2k",$0.148 MOUSER 71-CRCW08052K20JNEAH,0.148,RESISTOR,Vishay / Dale,CRCW08052K20JNEAHP,Mouser,71-CRCW08052K20JNEAH,www.mouser.com/ds/2/427/crcwhpe3-46056.pdf,9,c,,tape-no-leader,,16.00,18.66,90,bottom
X1/X1/GEN,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,13.07,12.45,90,top
X3/TERM,"JUMPER6","-",$0.21 MOUSER 571-6404556,0.21,CONNECTOR_6,TE Connectivity,640455-6,Mouser,571-6404556,http://www.mouser.com/ds/2/418/NG_DS_82056_MTA_0708-815240.pdf,23,c,,other,not known to be available in machine usable format,47.88,12.70,0,top
X3/L1,"0805","10Ohm",$0.23 MOUSER 710-742792095,0.23,INDUCTOR,Wurth Electronics,742792095,Mouser,710-742792095,www.mouser.com/ds/2/445/742792095-538626.pdf,1,c,,tape-no-leader,,49.78,9.90,90,bottom
X2/R1,"0805","2.2k",$0.148 MOUSER 71-CRCW08052K20JNEAH,0.148,RESISTOR,Vishay / Dale,CRCW08052K20JNEAHP,Mouser,71-CRCW08052K20JNEAH,www.mouser.com/ds/2/427/crcwhpe3-46056.pdf,9,c,,tape-no-leader,,76.20,13.47,90,bottom
X1/X1/R1,"0805","2.2k",$0.148 MOUSER 71-CRCW08052K20JNEAH,0.148,RESISTOR,Vishay / Dale,CRCW08052K20JNEAHP,Mouser,71-CRCW08052K20JNEAH,www.mouser.com/ds/2/427/crcwhpe3-46056.pdf,9,c,,tape-no-leader,,16.00,6.59,270,bottom
X2/MOV,"JUMPER8","-",$0.42 MOUSER 538-22-28-5084,0.42,CONNECTOR_8,Molex,22-28-5084,Mouser,538-22-28-5084,http://www.mouser.com/ds/2/276/0022285084_PCB_HEADERS-228315.pdf,http://www.molex.com/pdm_docs/sd/022285084_sd.pdf,c,,other,not known to be available in machine usable format,84.45,25.40,270,top
X2/C1,"0201","0.1uF",$0.013 MOUSER 80-C0201C104K9PAC,0.013,CAPACITOR,Kemet,C0201C104K9PAC,Mouser,80-C0201C104K9PAC,www.mouser.com/ds/2/212/KEM_C1006_X5R_SMD-348855.pdf,2,c,,tape-no-leader,,89.45,26.42,0,bottom
X2/C2,"0201","0.1uF",$0.013 MOUSER 80-C0201C104K9PAC,0.013,CAPACITOR,Kemet,C0201C104K9PAC,Mouser,80-C0201C104K9PAC,www.mouser.com/ds/2/212/KEM_C1006_X5R_SMD-348855.pdf,2,c,,tape-no-leader,,89.49,24.51,0,bottom
